,municipio,delito,trend
539,Acatlán de Juárez,Abuso de confianza_Abuso de confianza,0.0
540,Guadalajara,Otros delitos contra la sociedad_Otros delitos contra la sociedad_Otros delitos contra la sociedad,0.0
541,Zapopan,Aborto_Aborto_Aborto,0.0
542,Juanacatlán,Otros delitos del Fuero Común_Otros delitos del Fuero Común,0.0
543,Ixtlahuacán de los Membrillos,Robo_Robo a transportista_Sin violencia,0.0
544,Guadalajara,Robo_Robo en transporte público colectivo_Con violencia,0.0
545,Guadalajara,Robo_Robo en transporte público individual_Con violencia,0.0
546,San Pedro Tlaquepaque,Aborto_Aborto_Aborto,0.0
547,Ixtlahuacán de los Membrillos,Hostigamiento sexual_Hostigamiento sexual_Hostigamiento sexual,0.0
548,Tlajomulco de Zúñiga,Corrupción de menores_Corrupción de menores_Corrupción de menores,0.0
549,Zapotlanejo,Narcomenudeo_Narcomenudeo_Narcomenudeo,0.0
550,Zapotlanejo,Falsificación_Falsificación_Falsificación,0.0
551,El Salto,Lesiones_Lesiones culposas_Con otro elemento,0.0
552,Zapopan,Secuestro_Secuestro_Secuestro extorsivo,0.0
553,Juanacatlán,Homicidio_Homicidio culposo_En accidente de tránsito,0.0
554,Juanacatlán,Allanamiento de morada_Allanamiento de morada_Allanamiento de morada,0.0
555,Juanacatlán,Falsificación_Falsificación_Falsificación,0.0
556,Juanacatlán,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,0.0
557,Juanacatlán,Violación simple_Violación simple_Violación simple,0.0
558,Juanacatlán,Acoso sexual_Acoso sexual_Acoso sexual,0.0
559,San Pedro Tlaquepaque,Acoso sexual_Acoso sexual_Acoso sexual,0.0
560,Tlajomulco de Zúñiga,Robo_Robo de maquinaria_Robo de tractores Con violencia,0.0
561,Juanacatlán,Otros delitos del Fuero Común_Otros delitos del Fuero Común_Otros delitos del Fuero Común,0.0
562,Zapotlanejo,Homicidio_Homicidio doloso_Con arma de fuego,0.0
563,Juanacatlán,Robo_Otros robos_Sin violencia,0.0
564,San Pedro Tlaquepaque,Hostigamiento sexual_Hostigamiento sexual_Hostigamiento sexual,0.0
565,Zapotlanejo,Robo_Robo de ganado_Sin violencia,0.0
566,Zapotlanejo,Robo_Otros robos_Sin violencia,0.0
567,Juanacatlán,Robo_Robo a negocio_Con violencia,0.0
568,Ixtlahuacán de los Membrillos,Otros delitos contra la familia_Otros delitos contra la familia_Otros delitos contra la familia,0.0
569,Zapopan,Homicidio_Homicidio culposo_Con otro elemento,0.0
570,Ixtlahuacán de los Membrillos,Allanamiento de morada_Allanamiento de morada_Allanamiento de morada,0.0
571,Guadalajara,Aborto_Aborto,0.0
572,San Pedro Tlaquepaque,Lesiones_Lesiones dolosas_Con arma blanca,0.0
573,El Salto,Homicidio_Homicidio doloso_Con otro elemento,0.0
574,Acatlán de Juárez,Abuso de confianza_Abuso de confianza_Abuso de confianza,0.0
575,San Pedro Tlaquepaque,Robo_Robo a transeúnte en vía pública_Con violencia,0.0
576,San Pedro Tlaquepaque,Aborto_Aborto,0.0
577,El Salto,Homicidio_Homicidio doloso_No especificado,0.0
578,Tonalá,Homicidio_Homicidio culposo_En accidente de tránsito,0.0
579,Zapopan,Aborto_Aborto,0.0
580,El Salto,Homicidio_Homicidio culposo_En accidente de tránsito,0.0
581,Acatlán de Juárez,Allanamiento de morada_Allanamiento de morada_Allanamiento de morada,0.0
582,Acatlán de Juárez,Lesiones_Lesiones dolosas_Con arma de fuego,0.0
583,Guadalajara,Aborto_Aborto_Aborto,0.0
584,Ixtlahuacán de los Membrillos,Homicidio_Homicidio doloso_Con arma de fuego,0.0
585,Acatlán de Juárez,Robo_Robo de vehículo automotor_Robo de motocicleta Con violencia,0.0
586,El Salto,Feminicidio_Feminicidio_No especificado,0.0
587,El Salto,Robo_Robo a institución bancaria_Con violencia,0.0
588,Tlajomulco de Zúñiga,Feminicidio_Feminicidio_Con arma de fuego,0.0
589,Zapotlanejo,Homicidio_Homicidio doloso_Con otro elemento,0.0
590,Acatlán de Juárez,Robo_Robo a casa habitación_Con violencia,0.0
591,Acatlán de Juárez,Lesiones_Lesiones dolosas_Con arma blanca,0.0
592,Tonalá,Robo_Robo de ganado_Sin violencia,0.0
593,Zapotlanejo,Robo_Robo de vehículo automotor_Robo de motocicleta Con violencia,0.0
594,Zapopan,Allanamiento de morada_Allanamiento de morada_Allanamiento de morada,0.0
595,Guadalajara,Otros delitos contra la sociedad_Otros delitos contra la sociedad,-5.224952668603233e-05
596,Guadalajara,Otros delitos contra la sociedad,-5.224952668603233e-05
597,Guadalajara,Aborto,-0.00023508079350209599
598,Zapopan,Lesiones_Lesiones culposas,-0.0018175566828571021
599,San Pedro Tlaquepaque,Lesiones_Lesiones culposas_En accidente de tránsito,-0.006711409395973145
600,Juanacatlán,Robo,-0.007587099227372773
601,Guadalajara,Lesiones_Lesiones dolosas_Con arma blanca,-0.007633587786259555
602,San Pedro Tlaquepaque,Hostigamiento sexual_Hostigamiento sexual,-0.008171874703862603
603,San Pedro Tlaquepaque,Hostigamiento sexual,-0.008171874703862603
604,El Salto,Violencia familiar_Violencia familiar_Violencia familiar,-0.008498583569405138
605,El Salto,Daño a la propiedad,-0.008756251738651688
606,El Salto,Daño a la propiedad_Daño a la propiedad,-0.008756251738651688
607,Acatlán de Juárez,Allanamiento de morada_Allanamiento de morada,-0.009373737993883413
608,Acatlán de Juárez,Allanamiento de morada,-0.009373737993883413
609,Tonalá,Robo_Robo de ganado,-0.010204178634076855
610,Acatlán de Juárez,Robo_Robo a transeúnte en vía pública,-0.010240050860271022
611,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.01041666666666663
612,San Pedro Tlaquepaque,Robo_Robo a institución bancaria,-0.011615018653006626
613,San Pedro Tlaquepaque,Lesiones_Lesiones culposas,-0.011824516281477071
614,Acatlán de Juárez,Abuso de confianza,-0.012036158403756048
615,Tlajomulco de Zúñiga,Robo_Robo a transeúnte en vía pública_Sin violencia,-0.012195121951219523
616,Ixtlahuacán de los Membrillos,Allanamiento de morada_Allanamiento de morada,-0.012342921292387454
617,Ixtlahuacán de los Membrillos,Allanamiento de morada,-0.012342921292387454
618,Zapopan,Secuestro_Secuestro,-0.012379220121169654
619,Zapopan,Secuestro,-0.012379220121169654
620,San Pedro Tlaquepaque,Acoso sexual_Acoso sexual,-0.013109129386789098
621,San Pedro Tlaquepaque,Acoso sexual,-0.013109129386789098
622,San Pedro Tlaquepaque,Aborto,-0.013120415333200408
623,El Salto,Amenazas_Amenazas,-0.013465207876522722
624,El Salto,Amenazas,-0.013465207876522722
625,El Salto,Otros delitos contra la familia_Otros delitos contra la familia,-0.01510847098869239
626,El Salto,Otros delitos contra la familia,-0.01510847098869239
627,Zapopan,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.015578494197508563
628,Zapopan,Otros delitos que atentan contra la libertad personal,-0.015578494197508563
629,El Salto,Despojo,-0.018833856624893786
630,El Salto,Despojo_Despojo,-0.018833856624893786
631,Zapopan,Allanamiento de morada_Allanamiento de morada,-0.01901900653266042
632,Zapopan,Allanamiento de morada,-0.01901900653266042
633,Tlajomulco de Zúñiga,Homicidio_Homicidio doloso,-0.01928770387972234
634,Ixtlahuacán de los Membrillos,Robo_Robo a transeúnte en vía pública,-0.019309204339281405
635,Zapopan,Aborto,-0.021782014435993924
636,Ixtlahuacán de los Membrillos,Otros delitos contra la familia,-0.021806784441996685
637,Ixtlahuacán de los Membrillos,Otros delitos contra la familia_Otros delitos contra la familia,-0.021806784441996685
638,Tlajomulco de Zúñiga,Robo_Robo a transeúnte en vía pública,-0.021854435427539398
639,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad personal,-0.021907988608833695
640,San Pedro Tlaquepaque,Otros delitos que atentan contra la libertad personal_Otros delitos que atentan contra la libertad personal,-0.021907988608833695
641,Guadalajara,Homicidio,-0.023471041615112487
642,Ixtlahuacán de los Membrillos,Hostigamiento sexual,-0.024718531708109892
643,Ixtlahuacán de los Membrillos,Hostigamiento sexual_Hostigamiento sexual,-0.024718531708109892
644,Tlajomulco de Zúñiga,Corrupción de menores_Corrupción de menores,-0.026988459235523288
645,Tlajomulco de Zúñiga,Corrupción de menores,-0.026988459235523288
646,El Salto,Abuso de confianza,-0.028201448217090475
647,San Pedro Tlaquepaque,Falsificación_Falsificación_Falsificación,-0.030303030303030276
648,Guadalajara,Falsedad_Falsedad_Falsedad,-0.032258064516129004
649,Guadalajara,Falsedad,-0.03231755228997013
650,Guadalajara,Falsedad_Falsedad,-0.03231755228997013
651,San Pedro Tlaquepaque,Robo_Robo a transportista_Con violencia,-0.03296703296703296
652,El Salto,Robo_Robo a transportista_Con violencia,-0.033333333333333326
653,Zapopan,Robo,-0.03579650638492937
654,Zapopan,Robo_Robo de vehículo automotor_Robo de coche de 4 ruedas Con violencia,-0.03678929765886285
655,El Salto,Otros delitos del Fuero Común,-0.041932745163612895
656,Tlajomulco de Zúñiga,Acoso sexual_Acoso sexual_Acoso sexual,-0.04347826086956519
657,San Pedro Tlaquepaque,Falsificación,-0.04373288342956627
658,San Pedro Tlaquepaque,Falsificación_Falsificación,-0.04373288342956627
659,Juanacatlán,Otros delitos que atentan contra la libertad y la seguridad sexual,-0.0439400667830433
660,Juanacatlán,Otros delitos que atentan contra la libertad y la seguridad sexual_Otros delitos que atentan contra la libertad y la seguridad sexual,-0.0439400667830433
661,Zapopan,Otros delitos contra la familia_Otros delitos contra la familia_Otros delitos contra la familia,-0.04477611940298509
662,Tonalá,Violencia familiar_Violencia familiar_Violencia familiar,-0.04487179487179482
663,Zapopan,Despojo_Despojo_Despojo,-0.04528301886792452
664,Zapotlanejo,Lesiones_Lesiones culposas_En accidente de tránsito,-0.045454545454545414
665,Zapopan,Homicidio_Homicidio doloso_Con otro elemento,-0.05128205128205132
666,Tonalá,Violencia familiar,-0.0525707880526608
667,Tonalá,Violencia familiar_Violencia familiar,-0.0525707880526608
668,El Salto,Homicidio_Homicidio culposo,-0.052758079778670086
669,Acatlán de Juárez,Daño a la propiedad_Daño a la propiedad_Daño a la propiedad,-0.05555555555555558
670,El Salto,Robo_Robo a institución bancaria,-0.05635051934572444
671,El Salto,Violencia familiar_Violencia familiar,-0.057304226546784465
672,El Salto,Violencia familiar,-0.057304226546784465
673,Guadalajara,Daño a la propiedad_Daño a la propiedad_Daño a la propiedad,-0.05989911727616648
674,Guadalajara,Daño a la propiedad,-0.060016330329827894
675,Guadalajara,Daño a la propiedad_Daño a la propiedad,-0.060016330329827894
676,Zapopan,Homicidio_Homicidio doloso,-0.06006436066202692
677,San Pedro Tlaquepaque,Robo_Robo a transportista,-0.061685748274928565
678,Zapopan,Daño a la propiedad_Daño a la propiedad_Daño a la propiedad,-0.0623020063357973
679,Ixtlahuacán de los Membrillos,Robo_Robo de vehículo automotor_Robo de coche de 4 ruedas Con violencia,-0.0625
680,Zapopan,Otros delitos contra la familia,-0.0629553556985637
681,Zapopan,Otros delitos contra la familia_Otros delitos contra la familia,-0.0629553556985637
682,Juanacatlán,Violencia familiar_Violencia familiar,-0.0639690458726816
683,Juanacatlán,Violencia familiar,-0.0639690458726816
684,Guadalajara,Robo_Robo a transportista_Con violencia,-0.0641025641025641
685,Zapopan,Despojo,-0.06498445620344262
686,Zapopan,Despojo_Despojo,-0.06498445620344262
687,Juanacatlán,Acoso sexual_Acoso sexual,-0.0652462719521022
688,Juanacatlán,Acoso sexual,-0.0652462719521022
689,Acatlán de Juárez,Daño a la propiedad,-0.06589507137288941
690,Acatlán de Juárez,Daño a la propiedad_Daño a la propiedad,-0.06589507137288941
691,El Salto,Allanamiento de morada_Allanamiento de morada_Allanamiento de morada,-0.06666666666666665
692,Zapopan,Homicidio,-0.06938510558499722
693,Tlajomulco de Zúñiga,Acoso sexual_Acoso sexual,-0.07080717149468674
694,Tlajomulco de Zúñiga,Acoso sexual,-0.07080717149468674
695,Guadalajara,Robo_Robo de autopartes,-0.07108720372468191
696,Ixtlahuacán de los Membrillos,Robo_Robo a transeúnte en vía pública_Con violencia,-0.0714285714285714
697,San Pedro Tlaquepaque,Otros delitos contra la familia_Otros delitos contra la familia_Otros delitos contra la familia,-0.0714285714285714
698,Guadalajara,Extorsión_Extorsión_Extorsión,-0.07236842105263153
699,Guadalajara,Extorsión_Extorsión,-0.07236842105263153
700,Guadalajara,Extorsión,-0.07247261134116578
701,Zapopan,Homicidio_Homicidio culposo_En accidente de tránsito,-0.0736842105263158
702,Tonalá,Robo_Robo en transporte público colectivo,-0.07436103778470571
703,Guadalajara,Robo_Robo de autopartes_Sin violencia,-0.07652173913043481
704,Juanacatlán,Falsificación_Falsificación,-0.07878643369507332
705,Juanacatlán,Falsificación,-0.07878643369507332
